city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target
0.92,1.0,0.0,2.0,21,0,1,36,1
0.7759999999999999,0.0,0.0,2.0,15,75,5,47,0
0.624,0.0,2.0,2.0,5,0,0,83,0
0.767,1.0,0.0,3.0,21,75,4,8,0
0.764,1.0,1.0,2.0,11,0,1,24,1
0.92,1.0,0.0,1.0,5,75,1,24,0
0.762,1.0,0.0,2.0,13,5,5,18,1
0.92,1.0,0.0,2.0,7,75,1,46,1
0.92,1.0,0.0,2.0,17,10000,5,123,0
0.624,0.0,2.0,1.0,2,0,0,32,1
0.92,1.0,0.0,2.0,5,7500,1,108,0
0.913,1.0,0.0,2.0,21,2500,3,23,0
0.624,0.0,2.0,1.0,5,0,0,26,0
0.926,1.0,0.0,2.0,16,25,5,18,0
0.92,1.0,0.0,2.0,1,75,0,106,0
0.624,1.0,0.0,2.0,2,7500,2,7,0
0.624,1.0,0.0,2.0,7,10000,0,23,1
0.8270000000000001,1.0,0.0,2.0,4,0,1,132,1
0.843,1.0,0.0,3.0,11,250,1,68,0
0.926,1.0,0.0,3.0,11,250,2,50,0
0.804,1.0,0.0,3.0,10,0,1,48,0
0.7759999999999999,1.0,0.0,2.0,0,2500,1,65,0
0.624,1.0,0.0,2.0,5,2500,1,13,0
0.855,0.0,0.0,1.0,4,0,0,22,0
0.624,1.0,1.0,2.0,14,750,1,148,1
0.92,1.0,0.0,2.0,5,0,2,72,0
0.887,1.0,0.0,1.0,11,5,1,8,1
0.624,1.0,0.0,2.0,18,75,2,68,1
0.92,1.0,0.0,2.0,21,250,3,40,0
0.92,1.0,1.0,2.0,19,7500,5,141,0
0.92,0.0,2.0,2.0,5,0,1,24,0
0.92,1.0,0.0,2.0,21,250,5,82,0
0.91,1.0,0.0,2.0,12,7500,3,145,0
0.92,1.0,0.0,2.0,10,25,2,206,0
0.926,0.0,1.0,1.0,1,10000,1,152,0
0.926,1.0,0.0,4.0,21,250,4,42,1
0.92,0.0,0.0,2.0,12,0,4,50,0
0.926,1.0,2.0,3.0,16,2500,2,14,0
0.924,1.0,0.0,1.0,4,25,2,36,0
0.624,1.0,0.0,3.0,6,75,1,112,1
0.6659999999999999,0.0,0.0,2.0,9,75,0,108,0
0.624,1.0,1.0,3.0,9,7500,3,7,1
0.624,0.0,2.0,3.0,5,0,0,26,1
0.624,1.0,0.0,2.0,5,250,0,87,1
0.92,1.0,0.0,2.0,19,10000,4,52,1
0.5579999999999999,1.0,0.0,2.0,15,0,5,20,1
0.923,1.0,0.0,2.0,11,25,1,21,0
0.5579999999999999,0.0,0.0,2.0,4,0,1,92,1
0.6659999999999999,1.0,0.0,2.0,10,250,2,102,0
0.794,0.0,0.0,2.0,5,10000,5,26,0
0.924,1.0,0.0,3.0,3,5,2,7,0
0.926,0.0,2.0,1.0,4,10000,1,43,0
0.924,1.0,0.0,2.0,21,250,1,45,0
0.754,1.0,2.0,2.0,2,75,2,52,0
0.92,1.0,0.0,2.0,21,0,2,19,0
0.767,1.0,0.0,2.0,21,250,5,26,1
0.855,1.0,1.0,2.0,6,0,1,90,0
0.939,1.0,0.0,2.0,6,250,3,25,0
0.887,1.0,0.0,3.0,21,250,5,48,0
0.865,1.0,0.0,2.0,10,75,2,142,1
0.855,0.0,0.0,3.0,4,10000,4,13,0
0.91,1.0,0.0,2.0,15,0,5,47,0
0.91,1.0,0.0,3.0,14,750,1,28,0
0.6659999999999999,1.0,0.0,2.0,21,0,4,22,0
0.624,0.0,2.0,2.0,0,0,0,18,1
0.8270000000000001,1.0,0.0,2.0,2,25,1,29,0
0.55,0.0,2.0,2.0,0,0,0,12,0
0.92,1.0,0.0,2.0,5,250,2,17,0
0.893,1.0,0.0,3.0,5,75,2,65,0
0.92,0.0,0.0,2.0,3,250,1,35,0
0.855,0.0,2.0,2.0,9,10000,3,14,0
0.92,1.0,0.0,3.0,2,5,1,4,0
0.92,1.0,0.0,2.0,15,75,5,12,0
0.92,1.0,0.0,2.0,21,75,2,108,0
0.92,0.0,0.0,2.0,21,0,1,136,0
0.7959999999999999,1.0,1.0,3.0,4,75,1,74,0
0.884,1.0,0.0,2.0,15,25,1,86,0
0.866,0.0,1.0,2.0,0,25,2,83,0
0.92,0.0,2.0,1.0,4,0,3,75,0
0.91,0.0,0.0,1.0,3,0,0,182,0
0.92,0.0,0.0,2.0,3,250,1,13,1
0.682,1.0,0.0,2.0,5,25,2,172,1
0.92,1.0,0.0,2.0,10,250,1,48,0
0.802,1.0,2.0,2.0,9,75,1,33,0
0.92,0.0,2.0,1.0,2,250,1,142,0
0.579,0.0,2.0,2.0,2,250,1,34,0
0.802,1.0,0.0,2.0,6,75,2,14,1
0.55,1.0,0.0,2.0,6,25,2,27,1
0.55,1.0,0.0,2.0,8,250,1,24,1
0.878,0.0,0.0,3.0,21,0,1,150,0
0.92,1.0,0.0,2.0,11,750,5,20,0
0.91,1.0,0.0,2.0,12,7500,1,52,0
0.939,1.0,0.0,2.0,21,75,2,160,0
0.897,1.0,0.0,3.0,9,7500,2,3,0
0.624,1.0,0.0,2.0,2,5,2,2,1
0.91,1.0,0.0,2.0,21,2500,5,28,0
0.754,1.0,0.0,2.0,21,0,4,46,0
0.855,1.0,0.0,2.0,8,75,1,210,0
0.926,1.0,0.0,2.0,10,5,1,36,0
0.949,0.0,2.0,2.0,4,0,1,160,1
0.624,1.0,2.0,2.0,2,25,2,101,0
0.925,1.0,0.0,2.0,21,2500,5,19,0
0.624,1.0,0.0,2.0,3,250,2,26,1
0.698,1.0,2.0,2.0,7,5,1,90,0
